ID,video_id,repetition,label,ankle_angle_min,ankle_angle_max,ankle_angle_mean,ankle_angle_range,knee_angle_min,knee_angle_max,knee_angle_mean,knee_angle_range,hip_flexion_min,hip_flexion_max,hip_flexion_mean,hip_flexion_range,shoulder_flexion_min,shoulder_flexion_max,shoulder_flexion_mean,shoulder_flexion_range,femoral_angle_min,femoral_angle_max,femoral_angle_mean,femoral_angle_range,trunk_tibia_angle_min,trunk_tibia_angle_max,trunk_tibia_angle_mean,trunk_tibia_angle_range,start_frame,end_frame
1,S01SquatSag,1,3,51.220189384278875,92.74720743678756,64.63319994682561,41.52701805250869,34.97047880461695,172.2630095648817,91.99182446588054,137.29253076026475,23.657721485262183,179.99697071809868,94.94674790115107,156.3392492328365,153.08236298305053,179.97732463305525,165.58135472038026,26.894961650004717,4.796731533285964,107.93073235829277,60.34687659688034,103.13400082500681,65.70308111107826,105.74004523777445,86.93840097105023,40.03696412669619,33,221
2,S01SquatSag,2,3,53.19744215751637,92.63433941531115,66.55170741,39.436897257794776,37.48676187466599,168.67954056295014,91.33190664797202,131.19277868828414,25.862363235752646,179.99705416776268,90.95594833077718,154.13469093201005,150.8375940643934,177.3957644750597,162.91184878448254,26.55817041066632,6.810859602897381,107.48969950573579,63.21274819300571,100.6788399028384,67.58478812664791,106.32577310160535,90.30826591452794,38.74098497495744,240,416
3,S02SquatSag,1,1,39.52815803307053,83.04938245123954,57.128633825532496,43.521224418169005,37.10116059464505,171.14128631803544,93.50056100672282,134.0401257233904,32.61620062,179.85427327841464,99.36220781259985,147.23807265557983,160.63865855924323,177.77502719776012,167.2773621644748,17.14,0.17358940356200492,95.84030541775924,51.58378195388708,95.66671601419723,62.88141675228317,96.57488212203954,82.88444413899263,33.69346536975637,123,301
4,S02SquatSag,2,1,39.04429930961578,84.76287950307028,58.55655424,45.71858019,36.61685000609901,173.62563976857678,94.48067575778772,137.00878976247776,28.72185751502542,179.91097584631683,98.76810670568096,151.1891183312914,154.52428031706046,176.75699036907739,165.03703033168216,22.232710052016927,0.065610606,96.76941468860957,51.81628356,96.70380408268113,65.56766587894968,99.53502292133967,85.58236489614215,33.96735704238999,345,519
5,S03SquatSag,1,2,0,179.0238796933286,62.76717233884717,179.0238796933286,0,179.44879836265466,98.34326611,179.44879836265466,0,179.0335252086159,89.26029442982504,179.0335252086159,0,179.94179457653306,164.37050314664796,179.94179457653306,41.50962096206402,174.77265276085816,,133.26303179879415,74.84484893309873,173.3690977969501,,98.52424886385135,1,175
6,S03SquatSag,2,2,38.72852911036096,87.96775798,59.642446263777565,49.239228866380834,48.78961658296341,176.46758660714744,95.56240496503327,127.67797002418402,27.18457145002925,179.94617350269237,91.37623074899817,152.76160205266314,158.64104511040475,179.97848263794816,171.0974856195827,21.337437527543415,84.38465000949745,173.17688386589865,139.08512309948964,88.79223386,78.36273667311129,112.35050988695521,93.94979756578147,33.98777321384392,180,335
7,S03SquatSag,3,2,39.62510940551878,87.35963148259455,58.20451870780219,47.73452207707577,46.994940547214924,173.71872367134074,92.34206765189121,126.72378312412582,28.654050565204916,179.88734880522722,89.00594504995831,151.2332982400223,156.94910707813025,180,171.2841206777719,23.050892921869746,84.19086414254575,172.95477187473935,139.2687388,88.76390773,75.24063391052465,111.63220819395498,92.36686840708491,36.39157428343033,345,503
8,S04SquatSag,1,1,0,178.3521699816374,62.83734022055339,178.3521699816374,0,177.3107045535809,87.65465071506411,177.3107045535809,0,177.95946548638594,82.64794998938923,177.95946548638594,0,179.61701711591218,166.28697601910883,179.61701711591218,79.69673507763204,173.21782469992425,,93.52108962229221,25.891344942741767,104.74021140985862,,78.84886646711685,1,90
9,S04SquatSag,2,1,47.05889494,98.44970431662041,65.57747856262957,51.39080938013871,51.78114374474262,179.7839123701193,101.83656326655563,128.0027686253767,42.251123530315056,179.1161794513573,100.56699881868732,136.86505592104226,151.2341377669729,176.5899121306249,166.1073420913713,25.35577436365199,87.37088085,171.05850682508398,139.46214903972856,83.68762597380338,76.49809217810999,103.72440756007933,91.63290546505651,27.226315381969343,305,410
10,S04SquatSag,3,1,47.37581603161237,105.58747173350858,68.63243034888251,58.211655701896206,47.82090510060053,179.42204777821235,100.10431596008858,131.60114267761182,37.67198812918364,179.79756651378722,97.19956974,142.12557838460359,158.45607663037944,176.62846526908658,168.1863347,18.172388638707133,92.54017899785188,175.95590947956103,142.76147467148814,83.41573048170915,78.93297431160767,106.76560711577095,94.54500777799639,27.832632804163282,490,575
